Name,Binomial,Venomous status,Region,Body Shape,Scales,Color,Head Shape,Fangs,Habitat,Recommended Antivenom,About This Snake,image_url
Himalayan Coral Snake,Calliophis himalayanus,1,Uttarakhand; Himachal Pradesh; Arunachal Pradesh; Sikkim,Slender,Velvety,Maroon,Narrow,Tiny,Mountains,Not Applicable,A rare venomous coral snake inhabiting cool Himalayan forest ecosystems and rocky slopes.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Himalayan%20Coral%20Snake.jpg
Sea Krait,Laticauda colubrina,1,Andaman Islands; Nicobar Islands,Flattened,Banded,Grayish,Oval,Retractable,Coasts,Sea Snake Antivenom,An amphibious venomous snake spending time both in seawater and on coastal land.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Sea%20Krait.jpg
Yellow-lipped Sea Krait,Laticauda colubrina,1,Andaman Islands; Nicobar Islands,Streamlined,Smooth,Striped,Blunt,Hooked,Reefs,Sea Snake Antivenom,Recognized by its yellow snout and banded body near tropical island shorelines.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Yellow-lipped%20Sea%20Krait.jpg
Annulated Sea Snake,Hydrophis cyanocinctus,1,Odisha; Andhra Pradesh; Tamil Nadu; Andaman Islands,Compressed,Ringed,Olive,Tapered,Venomous,Seas,Sea Snake Antivenom,A highly venomous marine snake commonly seen in warm coastal waters of India.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Annulated%20Sea%20Snake.webp
Beaked Sea Snake,Hydrophis schistosus,1,Gujarat; Maharashtra; Kerala; Tamil Nadu; Odisha,Aquatic,Rough,Gray,Broad,Curved,Estuaries,Sea Snake Antivenom,"One of the most venomous sea snakes, usually inhabiting shallow coastal and estuarine waters.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Beaked%20Sea%20Snake.jpeg
Hook-nosed Sea Snake,Enhydrina schistosa,1,Gujarat; Maharashtra; Kerala; Tamil Nadu; Odisha,Compressed,Ridged,Silver,Hooked,Rearward,Estuaries,Sea Snake Antivenom,A dangerous marine snake recognized by its hooked snout and strong swimming ability.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Hook-nosed%20Sea%20Snake.jpg
Spine-bellied Sea Snake,Hydrophis curtus,1,Andaman Islands; Tamil Nadu; Odisha; Andhra Pradesh,Muscular,Spiny,Brownish,Rounded,Hollow,Coastalwaters,Sea Snake Antivenom,A stout-bodied sea snake often found in shallow tropical marine environments.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Spine-bellied%20Sea%20Snake.jpg
Shaws Sea Snake,Hydrophis lapemoides,1,Gujarat; Maharashtra; Kerala; Andaman Islands,Streamlined,Granular,Yellowish,Small,Injecting,Seabeds,Sea Snake Antivenom,A venomous sea snake usually inhabiting sandy seabeds and warm coastal regions.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Shaw's%20Sea%20Snake.jpeg
Short Sea Snake,Hydrophis brevis,1,Tamil Nadu; Odisha; Andhra Pradesh; Andaman Islands,Compact,Smooth,Darkgray,Blunt,Fixed,Shallows,Sea Snake Antivenom,A short-bodied marine snake adapted for life in shallow tropical ocean waters.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Short%20Sea%20Snake.jpg
Olive Sea Snake,Aipysurus laevis,1,Andaman Islands; Nicobar Islands,Thickened,Glossy,Olivegreen,Bulky,Sharp,Coralreefs,Sea Snake Antivenom,A large reef-associated sea snake commonly found around coral ecosystems and lagoons.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Olive%20Sea%20Snake.jpg
Turtle-headed Sea Snake,Emydocephalus annulatus,1,Andaman Islands; Nicobar Islands,Rounded,Smooth,Cream,Turtlelike,Reduced,Reefs,Sea Snake Antivenom,A reef-dwelling sea snake specialized in feeding mainly on fish eggs and marine nests.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Turtle-headed%20Sea%20Snake.png
Dubois Sea Snake,Aipysurus duboisii,1,Andaman Islands; Nicobar Islands,Slender,Glossy,Tan,Curved,Potent,Coralreefs,Sea Snake Antivenom,One of the most venomous sea snakes inhabiting warm tropical reef environments.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Dubois'%20Sea%20Snake.jpeg
Horned Sea Snake,Hydrophis peronii,1,Andaman Islands; Nicobar Islands,Compressed,Rough,Grayish,Horned,Hollow,Lagoons,Sea Snake Antivenom,A unique marine snake distinguished by horn-like projections above its eyes.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Horned%20Sea%20Snake.jpeg
Dog-faced Water Snake,Cerberus rynchops,0,West Bengal; Odisha; Andhra Pradesh; Kerala; Tamil Nadu,Stout,Keeled,Brown,Doglike,Small,Mangroves,Not Applicable,A non-venomous coastal water snake commonly found in mangroves and muddy estuaries.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Dog-faced%20Water%20Snake.jpg
Bockadam,Cerberus schneiderii,0,West Bengal; Odisha; Andhra Pradesh; Gujarat,Heavy,Textured,Olivedrab,Flattened,Toothless,Swamps,Not Applicable,A mildly aggressive non-venomous water snake living near brackish wetlands and marshes.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Bockadam.jpg
Russells Viper,Daboia russelii,1,Punjab; Uttar Pradesh; Bihar; West Bengal; Maharashtra; Tamil Nadu; Karnataka,Bulky,Keeled,Brownish,Triangular,Long,Grasslands,Polyvalent Antivenom,A highly venomous viper responsible for many snakebite incidents across India.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Russell's%20Viper.jpg
Saw-scaled Viper,Echis carinatus,1,Rajasthan; Gujarat; Maharashtra; Karnataka; Tamil Nadu,Compact,Rough,Sandy,Angular,Serrated,Deserts,Polyvalent Antivenom,A small aggressive viper producing a rasping sound by rubbing its scales together.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Saw-scaled%20Viper.jpg
Hump-nosed Pit Viper,Hypnale hypnale,1,Kerala; Tamil Nadu; Karnataka,Short,Ridged,Brown,Humped,Hinged,Plantations,Not Applicable,A cryptic venomous viper usually hidden among leaves in humid forested habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Hump-nosed%20Pit%20Viper.jpg
Malabar Pit Viper,Craspedocephalus malabaricus,1,Kerala; Karnataka; Goa; Maharashtra,Robust,Granular,Green,Arrowshaped,Folded,Rainforests,Not Applicable,A colorful pit viper commonly inhabiting dense Western Ghats rainforest ecosystems.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Malabar%20Pit%20Viper.jpg
Bamboo Pit Viper,Trimeresurus gramineus,1,Kerala; Karnataka; Tamil Nadu; Andhra Pradesh,Lean,Matte,Emerald,Broad,Curved,Bamboo,Not Applicable,An arboreal green pit viper often resting among bamboo clusters and forest vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Bamboo%20Pit%20Viper.jpg
Himalayan Pit Viper,Gloydius himalayanus,1,Jammu and Kashmir; Himachal Pradesh; Uttarakhand; Sikkim,Sturdy,Rugged,Grayish,Triangular,Hinged,Highlands,Not Applicable,A cold-climate venomous viper inhabiting rocky Himalayan mountain terrains and valleys.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Himalayan%20Pit%20Viper.jpg
Green Pit Viper,Trimeresurus erythrurus,1,Assam; Nagaland; Arunachal Pradesh; Meghalaya; Manipur,Slender,Satin,Green,Leaflike,Retractable,Forests,Not Applicable,A tree-dwelling venomous snake well-camouflaged within dense green forest vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Green%20Pit%20Viper.JPG
Popes Pit Viper,Trimeresurus popeiorum,1,Arunachal Pradesh; Nagaland; Assam; Mizoram,Flexible,Keeled,Olivegreen,Pointed,Foldable,Hills,Not Applicable,A nocturnal arboreal pit viper commonly found in humid hilly forest regions.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Pope's%20Pit%20Viper.jpg
White-lipped Pit Viper,Trimeresurus albolabris,1,Assam; Meghalaya; Tripura; Mizoram; Nagaland,Thin,Glossy,Limegreen,Rounded,Hollow,Shrubs,Not Applicable,Recognizable by its pale lips and bright green coloration in tropical vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/White-lipped%20Pit%20Viper.jpg
Mountain Pit Viper,Ovophis monticola,1,Sikkim; Arunachal Pradesh; Uttarakhand; Himachal Pradesh,Heavy,Rough,Earthy,Broadheaded,Venomous,Mountains,Not Applicable,A venomous mountain-dwelling viper usually active in cool rocky forest environments.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Mountain%20Pit%20Viper.jpg
Himalayan Green Pit Viper,Trimeresurus septentrionalis,1,Uttarakhand; Sikkim; Arunachal Pradesh; Himachal Pradesh,Slim,Keeled,Leafgreen,Triangular,Retractable,Woodlands,Not Applicable,A green arboreal pit viper adapted to cool Himalayan forest ecosystems.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Himalayan%20Green%20Pit%20Viper.jpg
Cantors Pit Viper,Cryptelytrops cantori,1,Assam; Arunachal Pradesh; Nagaland; Mizoram,Stocky,Textured,Brownish,Angular,Folded,Rainforests,Not Applicable,A cryptic venomous viper commonly hidden within dense tropical forest vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Cantor's%20Pit%20Viper.jpeg
Nicobar Pit Viper,Trimeresurus labialis,1,Nicobar Islands,Compact,Granular,Darkgreen,Flattened,Hollow,Islands,Not Applicable,An endemic island pit viper inhabiting dense tropical habitats of the Nicobars.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Nicobar%20Pit%20Viper.jpg
Large-scaled Pit Viper,Peltopelor macrolepis,1,Arunachal Pradesh; Nagaland; Manipur,Robust,Enlarged,Olive,Wide,Curved,Hillsides,Not Applicable,A rare venomous viper distinguished by its unusually large body scales.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Large-scaled%20Pit%20Viper.jpg
Levantine Viper,Macrovipera lebetina,1,Jammu and Kashmir; Rajasthan,Massive,Ridged,Tan,Blocky,Long,Rocklands,Polyvalent Antivenom,A heavy-bodied venomous viper adapted to dry rocky and semi-arid terrains.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Levantine%20Viper.jpeg
Blunt-nosed Viper,Macrovipera obtusa,1,Jammu and Kashmir; Ladakh,Thick,Keeled,Gray,Triangular,Hinged,Rockylands,Polyvalent Antivenom,A heavy venomous viper inhabiting dry rocky mountain regions and arid landscapes.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Blunt-nosed%20Viper.jpg
Himalayan Leaf-nosed Pit Viper,Craspedocephalus trigonocephalus,1,Sikkim; Arunachal Pradesh; Uttarakhand,Flattened,Leaflike,Greenish,Leafnosed,Curved,Cloudforests,Not Applicable,A camouflaged pit viper blending efficiently within dense Himalayan forest vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Himalayan%20Leaf-nosed%20Pit%20Viper.jpg
Eyelash Pit Viper,Bothriechis schlegelii,1,Not Naturally Found in India,Slender,Raised,Yellow,Spiky,Hollow,Rainforests,Not Applicable,A brightly colored arboreal pit viper known for scale projections above its eyes.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Eyelash%20Pit%20Viper.jpeg
Mangshan Pit Viper,Protobothrops mangshanensis,1,Not Naturally Found in India,Bulky,Rough,Patterned,Broad,Long,BambooForests,Not Applicable,A rare giant pit viper recognized for its striking camouflage and heavy build.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Mangshan%20Pit%20Viper.jpg
Red-necked Keelback Viper,Rhabdophis subminiatus,1,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Elongated,Keeled,Reddish,Narrow,Rearfanged,Wetlands,Not Applicable,A semi-aquatic rear-fanged snake identified by its distinct reddish neck markings.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Red-necked%20Keelback%20Viper.jpg
Indian Rat Snake,Ptyas mucosa,0,Assam; West Bengal; Odisha; Maharashtra; Tamil Nadu; Kerala; Karnataka,Lengthy,Smooth,Olivebrown,Narrow,Small,Farmlands,Not Applicable,"A fast-moving non-venomous snake commonly found near farms, water bodies, and villages.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Indian%20Rat%20Snake.jpeg
Trinket Snake,Coelognathus helena,0,Maharashtra; Karnataka; Tamil Nadu; Kerala; Andhra Pradesh,Slender,Glossy,Bronze,Oval,Curved,Scrublands,Not Applicable,A beautifully patterned non-venomous snake often seen in dry forest habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Trinket%20Snake.jpg
Common Trinket Snake,Coelognathus helena helena,0,Gujarat; Rajasthan; Maharashtra; Karnataka,Flexible,Polished,Brownish,Streamlined,Toothlike,Grasslands,Not Applicable,A harmless agile snake recognized for its chain-like body markings and alert behavior.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Common%20Trinket%20Snake.jpg
Oriental Rat Snake,Ptyas mucosa,0,Assam; Nagaland; West Bengal; Bihar; Kerala; Tamil Nadu,Lean,Keeled,Yellowish,Pointed,Tiny,Wetlands,Not Applicable,A widespread non-venomous snake known for controlling rodent populations around human settlements.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Oriental%20Rat%20Snake.jpg
Beauty Rat Snake,Orthriophis taeniurus,0,Assam; Arunachal Pradesh; Nagaland; Manipur,Elegant,Banded,Golden,Elongated,Sharp,Forests,Not Applicable,A colorful climbing snake admired for its striking patterns and active movement.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Beauty%20Rat%20Snake.jpeg
Copper-headed Trinket Snake,Coelognathus radiatus,0,Assam; West Bengal; Odisha; Kerala; Karnataka; Tamil Nadu,Streamlined,Satin,Copper,Arrowshaped,Small,Woodlands,Not Applicable,A swift non-venomous snake recognized by its copper-colored head and striped body.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Copper-headed%20Trinket%20Snake.jpg
Indian Smooth Snake,Coronella brachyura,0,Maharashtra; Gujarat; Rajasthan; Karnataka,Compact,Smooth,Graybrown,Rounded,Tiny,Shrublands,Not Applicable,A harmless secretive snake usually found beneath rocks and dry vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Indian%20Smooth%20Snake.jpg
Green Keelback,Rhabdophis plumbicolor,0,Kerala; Karnataka; Tamil Nadu; Maharashtra,Slender,Keeled,Green,Blunt,Rearfanged,Grasslands,Not Applicable,A mildly venomous-looking but generally harmless snake commonly found near moist habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Green%20Keelback.jpg
Olive Keelback,Atretium schistosum,0,Tamil Nadu; Kerala; Andhra Pradesh; Odisha,Flexible,Rough,Olive,Tapered,Short,Ponds,Not Applicable,A semi-aquatic non-venomous snake often seen around ponds and marshy wetlands.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Olive%20Keelback.jpg
Checkered Keelback,Fowlea piscator,0,Assam; Bihar; West Bengal; Uttar Pradesh; Kerala; Tamil Nadu,Muscular,Checkered,Brown,Narrow,Toothlike,Rivers,Not Applicable,"A common water snake frequently observed near rivers, lakes, and fishing areas.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Checkered%20Keelback.jpeg
Buff-striped Keelback,Amphiesma stolatum,0,Assam; West Bengal; Odisha; Maharashtra; Tamil Nadu; Kerala,Slim,Keeled,Buff,Rounded,Small,Gardens,Not Applicable,A harmless small snake commonly seen in grassy fields and residential gardens.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Buff-striped%20Keelback.jpg
Striped Keelback,Amphiesma khasiense,0,Assam; Meghalaya; Arunachal Pradesh; Nagaland,Elongated,Striped,Olivebrown,Flattened,Tiny,Streams,Not Applicable,A semi-aquatic keelback usually found near hill streams and moist forests.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Striped%20Keelback.jpeg
Himalayan Keelback,Herpetoreas platyceps,0,Uttarakhand; Himachal Pradesh; Sikkim; Arunachal Pradesh,Flexible,Rugged,Graygreen,Broad,Tapered,Highlands,Not Applicable,A cold-region non-venomous snake adapted to rocky Himalayan environments and streams.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Himalayan%20Keelback.jpg
Mountain Keelback,Opisthotropis maculosa,0,Nagaland; Arunachal Pradesh; Meghalaya; Manipur,Compact,Textured,Darkolive,Blunt,Minute,Hillsides,Not Applicable,A secretive snake inhabiting moist mountain forests and flowing water habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Mountain%20Keelback.jpeg
Assam Keelback,Hebius parallelus,0,Assam; Arunachal Pradesh; Nagaland,Lean,Parallel,Brownish,Oval,Short,Rainforests,Not Applicable,A forest-dwelling keelback commonly encountered in humid northeastern Indian habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Assam%20Keelback.jpeg
Yellow-spotted Keelback,Fowlea flavipunctatus,0,Assam; West Bengal; Odisha; Kerala,Slender,Spotted,Olivegreen,Rounded,Small,Wetlands,Not Applicable,A semi-aquatic non-venomous snake recognized by yellow spots along its body.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Yellow-spotted%20Keelback.jpg
Red-necked Keelback,Rhabdophis subminiatus,1,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Keeled,Reddish,Narrow,Rearfanged,Marshes,Not Applicable,A brightly marked rear-fanged snake commonly found near wetlands and forest streams.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Red-necked%20Keelback.jpeg
Tiger Keelback,Rhabdophis tigrinus,1,Arunachal Pradesh; Assam; Nagaland,Robust,Banded,Orangeblack,Triangular,Grooved,Grasslands,Not Applicable,A venomous keelback displaying tiger-like patterns and defensive neck coloration.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Tiger%20Keelback.jpeg
Green Vine Snake,Ahaetulla nasuta,0,Kerala; Karnataka; Tamil Nadu; Goa; Maharashtra,Threadlike,Smooth,Green,Pointed,Rearward,Trees,Not Applicable,A slender arboreal snake using camouflage to blend among leaves and branches.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Green%20Vine%20Snake.jpeg
Brown Vine Snake,Ahaetulla pulverulenta,0,Kerala; Karnataka; Tamil Nadu,Whiplike,Matte,Brown,Elongated,Tiny,Canopies,Not Applicable,A tree-dwelling snake adapted for camouflage within dry branches and forest vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Brown%20Vine%20Snake.jpg
Long-nosed Vine Snake,Ahaetulla oxyrhyncha,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Needlelike,Smooth,Leafgreen,Longsnouted,Rearward,Canopies,Not Applicable,An arboreal snake with an extended snout specialized for camouflage among foliage.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Long-nosed%20Vine%20Snake.jpg
Common Bronzeback Tree Snake,Dendrelaphis tristis,0,Maharashtra; Karnataka; Kerala; Tamil Nadu; Odisha,Slender,Glossy,Bronze,Oval,Small,Trees,Not Applicable,A fast-moving tree snake commonly seen gliding across branches and shrubs.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Common%20Bronzeback%20Tree%20Snake.jpg
Painted Bronzeback,Dendrelaphis pictus,0,Assam; West Bengal; Odisha; Kerala; Karnataka,Streamlined,Striped,Goldenbrown,Pointed,Tiny,Forests,Not Applicable,"A colorful agile tree snake inhabiting forests, gardens, and tropical vegetation.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Painted%20Bronzeback.jpg
Green Bronzeback,Dendrelaphis formosus,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Satin,Greenish,Narrow,Sharp,Rainforests,Not Applicable,A slender arboreal snake active during daytime in dense humid forests.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Green%20Bronzeback.jpg
Andaman Bronzeback,Dendrelaphis andamanensis,0,Andaman Islands,Lean,Polished,Olivebrown,Rounded,Minute,Woodlands,Not Applicable,An island tree snake endemic to the tropical forests of the Andaman Islands.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Andaman%20Bronzeback.jpg
Black-headed Royal Snake,Spalerosophis atriceps,0,Rajasthan; Gujarat; Punjab; Haryana,Robust,Smooth,Tan,Blackheaded,Small,Deserts,Not Applicable,A non-venomous royal snake adapted to dry plains and semi-arid habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Black-headed%20Royal%20Snake.jpg
Indian Egg-eating Snake,Elachistodon westermanni,0,Maharashtra; Madhya Pradesh; Odisha; Bihar,Slender,Flexible,Brownish,Narrow,Toothless,Scrublands,Not Applicable,A rare harmless snake specialized in feeding exclusively on bird eggs.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Indian%20Egg-eating%20Snake.jpg
Indian Wolf Snake,Lycodon aulicus,0,Assam; West Bengal; Maharashtra; Kerala; Tamil Nadu,Cylindrical,Glossy,Blackwhite,Flattened,Sharp,Houses,Not Applicable,A nocturnal non-venomous snake often mistaken for kraits near human settlements.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Indian%20Wolf%20Snake.jpg
